A 马克思主义、列宁主义、毛泽东思想、邓小平理论
C1 社会科学现状及发展
C18 专利
C19 创造发明、先进经验
C2 社会科学机构、团体、会议
C20 国际组织
C23 社会团体
C24 研究机构
C26 学术团体、学会、协会
C27 学术会议、专业会议
C28 展览会、展览馆、博物馆
C289 图书馆、信息服务机构、咨询机构
C29 企业
C3 社会科学研究方法
C31 调查方法、工作方法
C32 统计方法、计算方法
C33 试验方法与试验设备
C34 分析、研究与鉴定
C35 技术条件
C36 组织管理
C37 数据处理
C39 新技术的应用
C4 社会科学教育与普及
C40 教育组织、学校
C41 教学计划、教学大纲、课程研究
C42 教学方法、教学参考书
C43 教材、课本
C44 习题、试题与题解
C45 教学实验、实习
C49 普及读物
C5 社会科学丛书、文集、连续性出版物
C51 丛书（汇刻书）、文库
C52 全集、选集
C53 论文集
C532 会议录
C533 学位论文、毕业论文
C539 杂著
C54 年鉴、年刊
C55 连续出版物
C56 政府出版物、团体出版物
C6 社会科学参考工具书
C61 名词术语、辞典、百科全书（类书）
C62 手册、名录、指南、一览表、年表
C63 目录、样本、说明书
C64 表解、图解、图册、公式、数据、地图
C65 条例、规程、标准
C66 统计资料
C67 参考资料
[C7] 社会科学文献检索工具书
C8 统计学
C81 统计方法
C811 统计调查
C812 统计资料的分析和整理
C813 统计指数
C814 统计平均数
C815 统计图示法
C816 统计资料管理
C819 统计技术设备
[C82] 专类统计学
C829 世界各国统计工作
C829.1 世界
C829.2 中国
C829.21 方针、政策
C829.22 统计制度
C829.23 统计机构、组织与管理
C829.29 统计事业史
C829.3/.7 各国
C83 世界各国统计资料
C831 世界
C832 中国
C832.1/.7 各地区统计资料
C833/837 各国
C91 社会学
C91-0 社会学理论与方法论
C91-03 社会学方法论
C91-06 学派及其研究
C91-09 社会学史、社会思想史
[C911] 社会发展和变迁
C912 社会结构和社会关系
C912.1 个人（社会人）
C912.2 社会团体
C912.3 社会关系、社会约制
C912.4 文化人类学、社会人类学
{C912.5} 民族学
C912.6 社会心理、社会行为
C912.61 阶级心理
C912.63 社会舆论
C912.64 群众心理
[C912.66] 宗教心理
C912.67 社会思潮
C912.68 社会行为
C912.69 其他
C912.8 地区社会学
C912.81 城市社会学
C912.82 农村社会学
C913 社会生活与社会问题
C913.1 恋爱、家庭、婚姻
C913.11 家庭、家族
C913.13 婚姻
C913.14 两性问题
[C913.15] 生育
C913.2 职业
C913.3 生活与消费
C913.31 居住
C913.32 交通
C913.33 生活日用品供应与消费
C913.4 文教、卫生
C913.5 青少年问题
C913.6 中、老年人问题
C913.68 妇女问题
C913.69 残疾人问题
C913.7 社会福利、社会救济、社会保障
C913.8 社会病态
C913.9 其他社会问题
C914 社会利益
C915 社会调查和社会分析
C916 社会工作、社会管理、社会规划
[C919] 分科社会学
C92 人口学
C92-0 人口学理论与方法论
C92-03 人口学方法论
C92-05 与其他学科的关系
C92-09 人口学史
C921 人口统计学
C921.2 人口调查法
C921.3 户籍登记法
C922 人口地理学
C923 人口与计划生育
C924 世界各国人口调查及其研究
C924.1 世界人口
C924.2 中国人口
C924.21 人口政策与制度
C924.23 人口规划
C924.24 人口问题研究
C924.25 人口调查
C924.3/.7 各国人口
C93 管理学
C93-0 管理学理论与方法论
C93-02 管理学的哲学基础
C93-03 管理学方法论
C93-05 与其他学科的关系
C93-06 学派及其研究
C93-09 管理学史
C931 管理技术与方法
C931.1 管理数学
C931.2 管理的方式方法
C931.3 管理工作、管理人员
C931.4 办公室工作
C931.46 文书工作
C931.47 会议组织与管理
{C931.5} 咨询理论与组织
C931.6 管理信息系统
C931.9 管理工作自动化
C932 咨询学
C932.2 咨询方法与咨询技术
C932.4 咨询管理
C932.6 咨询服务
C932.8 世界各国咨询业
[C932.9] 专科咨询学
C933 领导学
C933.1 领导体制
C933.2 领导方法
C933.3 领导权
C933.4 领导组织建设
C934 决策学
C935 管理计划和控制
C936 管理组织学
C939 应用管理学
[C94] 系统科学
C95 民族学
C95-0 民族学理论与方法论
C95-05 民族学与其他学科关系
C95-06 民族学学派
C951 民族起源、发展、变迁
[C952] 民族史志、民族地理
[C953] 民俗学
C954 民族社会形态、社会制度
C955 民族性、民族心理
C956 民族融合、民族同化
[C957] 民族工作、民族问题
C96 人才学
{C960} 人才学理论
C961 人才培养与人才选拔
C961.9 人才预测与人才规划
C962 人才管理
C963 人才智力开发
C964 世界各国人才调查及其研究
[C965] 人才市场
[C969] 专门人才学
C97 劳动科学
C970 劳动科学基础理论
C970.2 劳动哲学
C970.4 劳动心理学
[C970.5] 劳动生理学
C970.7 劳动科学学
[C971] 劳动经济学
[C972] 劳动法学
[C973] 劳动关系学
[C974] 劳动管理学
C975 职业培训
C976.1 劳动社会学
[C976.2] 劳动安全、劳动卫生
C976.7 劳动计量学
[C976.8] 劳动统计学
[C979] 社会保障学
D 政治、法律
D0 政治理论
D0-0 科学社会主义理论（总论）
D01 阶级、阶层理论
D011 阶级的产生与消亡
D012 阶级矛盾、阶级斗争与社会发展
D013 社会阶层、利益集团理论
{D018} 消灭阶级剥削
D02 革命理论
D021 革命的起源和本质
D022 各历史阶段的革命
D023 奴隶革命
D024 农民革命
D025 资产阶级革命
D026 民族民主革命
[D027] 无产阶级革命
D028 不断革命论与革命发展阶段论
D03 国家理论
D031 国家的起源、发展和消亡
D032 国家与民族、国家与人民
D033 国家政治制度
D033.1 奴隶制国家
D033.2 封建制国家
D033.3 资本主义国家
D033.4 社会主义国家
D034 国家体制
D034.3 最高政权组织
D034.4 选举
D034.5 权利与义务
{D034.6} 国家表征
D035 国家行政管理
D035.1 国家行政机构
D035.2 人事管理
D035.3 公安学
D035.31 公安管理学
[D035.32] 刑事侦察学（犯罪对策学、犯罪侦察学）
D035.33 保卫学
D035.34 治安管理学
[D035.35] 预审学
D035.36 消防管理
D035.37 交通管理
D035.39 技术装备
D035.4 监察、监督
D035.5 地方行政管理、地方自治
D04 无产阶级革命与无产阶级专政理论
D041 民主革命与社会主义革命的关系
D043 无产阶级领导权与革命同盟军
D044 武装夺取政权的道路
D045 革命的战略和策略
D046 无产阶级专政
D046.1 民主和专政
D046.3 民主与集中、自由与纪律
D047 社会主义向共产主义过渡
D05 政党理论
D051 政党的起源和本质
D052 资产阶级政党
D053 无产阶级政党
[D054] 领袖、政党、阶级、群众
D06 民族、殖民地问题理论
D062 民族解放运动理论
D063 民族自决问题
D064 民族平等与民族团结
D066 殖民地问题
D068 战争与和平问题理论
D069 国际主义与爱国主义
{D07} 政治流派和思潮
D08 其他政治理论问题
D081 自由、平等、博爱
D082 民主、人权、民权
D089 其他
D09 政治学史、政治思想史
D091 世界政治思想史
D091.2 古代
D091.3 中世纪（476~1640年）
D091.4 近代（1640~1917年）
D091.5 现代（1917年~）
D091.6 社会主义思想史
D092 中国政治思想史
D093/097 各国政治思想史
D1 国际共产主义运动
[D10] 共产主义运动理论
D11 共产主义运动初期（1846~1864年）
D12 第一国际（国际工人协会，1864~1876年）
D121 马克思主义者与小资产阶级思潮的斗争
D122 第一国际时期小资产阶级思潮
D125 第一国际会议
{D126} 第一国际解散后的共产主义运动（1877~1889年）
D13 巴黎公社（1871年）
D139 第一国际解散后的共产主义运动（1877~1889年）
D14 第二国际（1889~1900年）
D141 恩格斯领导下的第二国际
D142 列宁主义者与第二国际修正主义的斗争（1900~1914年）
D143 第二国际时期修正主义理论
D145 第二国际会议
D15 十月社会主义革命（1917年）
D16 共产国际（第三国际，1919年3月~1943年6月）
D161 第三国际的准备和成立
D162 马克思、列宁主义者与机会主义、修正主义的斗争
D163 第三国际时期修正主义理论
D165 第三国际会议
D166 共产国际的解散（1943年6月）
D169 托派
D17 共产党、工人党情报局（1947年9月~1956年4月）
D172 情报局时期的分歧
D175 情报局会议
D176 情报局的解散（1956年4月）
D18 当代国际共产主义运动（1956年4月~）
D181 当代国际共产主义运动中的分歧
D185 当代国际代表会议
D186 各国共产党的相互关系
D2 中国共产党
D2-0 党的领导人著作
D20 建党理论
D21 党章
D219 党章学习参考资料
D22 党的组织、会议及其文献
D220 中央组织、会议及其文献
D221/227 地方组织、会议及其文献
D229 会议文献的学习参考资料
D23 党史
D231 新民主主义革命时期（1919~1949年）
D232 社会主义革命和建设时期（1949年~）
D235 党的地方组织史料
D239 党史参考资料
D24 党的总路线和总政策
D25 党的领导
D251 领导原则与方法
D252 群众路线
D26 党的建设
D261 思想建设
D261.1 思想教育、路线教育
D261.2 纠正党内错误思想
D261.3 党的作风
D261.4 党内教育
D261.41 党校
D261.42 党课
D261.5 党的宣传工作
D262 组织建设
D262.1 组织原则
D262.11 民主集中制
D262.12 党的团结与统一
D262.13 党的纪律
D262.2 党的组织工作
D262.3 党的干部工作
D262.4 建党工作
D262.6 党的纪律检查工作
D263 党员
D263.1 党员标准
D263.19 预备党员
D263.2 党员的权利和义务
D263.3 党性锻炼
D263.4 组织生活
D264 整风、整党运动
D267 党的基层工作
D267.1 厂矿企业
D267.2 农村、乡镇企业
D267.3 部队
D267.4 财贸
D267.5 国家机关
D267.6 文教、卫生
D267.7 街道
D267.9 其他
D27 中国共产党与各国共产党的关系
D29 中国共产主义青年团
D290 建团理论
D291 团章
D291.9 团章学习参考资料
D292 团的组织、会议及其文献
D292.1/.7 地方组织、会议及其文献
D292.9 会议文献的学习参考资料
D293 团史
D296 团的建设
D296.1 思想建设
D296.19 团校、团课、教材
D296.2 组织建设
D296.3 团员
D297 团的工作
D33/37 各国共产党
D4 工人、农民、青年、妇女运动与组织
D41 工人运动与组织
D410 工人运动理论
D411 世界工人运动与组织
D411.1 五一国际劳动节
D411.3 国际工人组织与会议
D411.4 世界工会联合会（世界工联）
D411.5 产业工会国际组织与会议
D411.6 其他国际性工会组织
D411.7 世界工人生活状况
[D411.9] 国际工人运动史
D412 中国工人运动与组织
D412.0 党对工人运动的领导
D412.1 工会章程、条例
D412.2 工人组织与会议
D412.3 中华全国总工会
D412.4 产业工会组织与会议
[D412.5] 地方工会组织与会议
D412.6 工会工作
D412.61 组织工作
D412.62 思想政治教育工作
D412.63 职工培训工作
D412.64 生产工作
D412.65 文化宣传工作
D412.66 生活福利工作
D412.67 财务工作
D412.7 工人生活状况
D412.8 地方工人运动与组织
[D412.9] 工人运动史
D413/417 各国工人运动与组织
D42 农民运动与组织
D420 农民运动理论
D421 世界农民运动与组织
D421.7 世界农民生活状况
[D421.9] 世界农民运动史
D422 中国农民运动与组织
D422.0 党对农民运动的领导
D422.1 章程、条例
D422.2 农民组织与会议
D422.6 农民工作
D422.61 组织工作
D422.62 思想政治教育工作
D422.63 学习
D422.64 生活
D422.7 农民生活状况
D422.8 地方农民运动与组织
[D422.9] 农民运动史
D423/427 各国农民运动与组织
D43 青年、学生运动与组织
D430 青年、学生运动理论
D431 世界青年、学生运动与组织
D431.1 世界青年节、世界青年联欢节
D431.2 国际青年组织与会议
D431.3 国际学生组织与会议
D431.4 国际少年儿童会议与活动
D431.7 世界青年、学生、儿童生活状况
D431.9 世界青年、学生运动史，青年社会生活史
D432 中国青年、学生运动与组织
D432.0 党对青年、学生运动的领导
D432.1 五四青年节
D432.2 章程、条例
D432.3 青年组织与会议
D432.4 学生组织与会议
D432.5 少年儿童组织与活动
D432.51 少先队
D432.6 青年工作
D432.61 组织工作
D432.62 思想政治教育工作
D432.63 学习
D432.64 生活
D432.7 青年、学生、儿童生活状况
D432.8 地方青年、学生运动与组织
D432.9 青年、学生运动史，青年社会生活史
D433/437 各国青年、学生运动与组织
D44 妇女运动与组织
D440 妇女运动理论
D441 世界妇女运动与组织
D441.1 三八国际妇女节
D441.3 国际妇女组织与会议
D441.4 国际民主妇女联合会（国际民主妇联）
D441.5 世界母亲大会
D441.6 国际保卫儿童大会
D441.7 世界妇女生活状况
D441.9 世界妇女运动史、妇女社会生活史
D442 中国妇女运动及组织
D442.0 党对妇女运动的领导
D442.1 章程、条例
D442.2 妇女组织与会议
D442.3 中华全国妇女联合会（全国妇联）
[D442.4] 地方妇女联合会
D442.6 妇女工作
D442.61 组织工作
D442.62 思想政治教育工作
D442.63 学习
D442.64 生活
D442.69 其他
D442.7 妇女生活状况
D442.8 地方妇女运动与组织
D442.9 妇女运动史、妇女社会生活史
D443/447 各国妇女运动与组织
D5 世界政治
D50 世界政治概况
D501 发展中国家（总论）
D502 发达国家（总论）
D503 美俄政治（总论）
D507 社会主义国家政治（总论）
D509 资本主义国家政治（总论）
D51 国际政治矛盾与斗争
D511 反对侵略扩张的斗争
D512 反对种族歧视的斗争
D513 反对法西斯主义、复活军国主义、复仇主义的斗争
D515 反对“和平演变”的斗争
{D518} 国际政治矛盾与斗争
D52 世界政治制度与国家机构
D521 政治制度
D523 行政管理
D523.1 国家机构
D523.2 人事
D523.3 公安
D523.31 政策
D523.32 制度
D523.34 教育、训练
D523.36 国际组织及其活动
D523.4 监察、监督
D523.5 地方行政、地方自治
D523.8 移民、侨民
{D523.91} 难民
D526 情报机构及其活动
D55 世界政治事件
D56 世界社会结构
D562 民族问题
D564 政党和政治团体及其活动
D569 社会调查分析
D57 社会保障与社会福利
D58 社会生活与社会问题
D59 世界政治制度史
D6 中国政治
D60 政策、政论
D601 方针、政策
D602 政论
D609 报刊社论
D609.9 评论
D609.91 港、澳、台地区评论
D61 中国革命和建设问题
D611 无产阶级的革命领导权
D612 武装夺取政权的道路
D613 革命统一战线
D614 社会主义革命和社会主义建设总路线
D615 革命与生产
D616 中国特色社会主义建设问题
D618 中国革命的特殊问题
D619 社会主义革命和社会主义建设成就
D62 政治制度与国家机构
D621 政治制度
D621.4 选举
D621.5 公民权利与义务
D621.6 国家表征
D622 全国人民代表大会
D623 国务院
D624 地方各级人民代表大会
D625 地方各级人民政府
D627 中国人民政治协商会议
D628 地方各级政治协商会议
D63 国家行政管理
D630 国家机关工作与人事管理
D630.1 国家机关工作
D630.3 人事管理
D630.9 监察、监督
D631 公安工作
D631.1 公安行政工作
D631.12 制度
D631.13 组织机构与人事管理
D631.15 教育、训练
D631.19 政治工作
D631.2 犯罪侦察、刑事侦察工作
D631.3 保卫工作、保密工作
D631.4 治安工作
D631.41 治安基层组织
D631.42 户籍管理
D631.43 公共秩序管理
D631.44 特种行业、危险物品管理
D631.46 出入境管理
D631.5 交通管理
D631.6 消防工作
D631.7 看守所、收审所管理
D632 民政工作
D632.1 社会保障与社会福利
D632.2 干部离退休工作
D632.3 优抚安置
D632.4 移民
D632.5 救灾
D632.8 信访工作
D632.9 其他
D633 民族工作
D633.0 民族政策
D633.1 民族事务与民族问题
D633.2 民族区域自治
D633.3 各少数民族状况
D634 侨务工作
D634.0 华侨政策
D634.1 华侨事务与华侨问题
D634.2 归国华侨
D634.3 国外华侨
D635 宗教工作
D635.0 宗教政策
D635.1 宗教事务与宗教问题
D635.2 宗教团体
D638 群众自治工作
D64 思想政治教育和精神文明建设
D64-5 学习丛书、文集
D64-53 学习文选
D641 学习和应用马克思列宁主义、毛泽东思想、邓小平理论
D642 革命传统教育
D643 形势教育、国情教育
D647 国际主义教育、爱国主义教育
D648 道德教育
D648.1 职业道德教育
D648.2 集体主义教育、纪律教育
D648.3 社会公德教育
D648.4 革命英雄主义、革命乐观主义教育
D649 家庭、婚姻道德教育
D65 政治运动、政治事件
D651 1949年10月~1966年5月
D651.1 土地改革
D651.2 镇压反革命
D651.3 抗美援朝
D651.4 三反、五反运动
D651.5 肃反
D651.6 整风、反右派斗争
D651.7 社会主义教育运动（四清运动）
D651.9 其他
D652 1966年5月～1976年10月
D653 1976年10月~1978年12月
D654 1979年1月~
{D659} 其他
D66 阶级结构与社会结构
D661 我国社会主义历史时期的阶级和阶级斗争
D663 阶级、阶层
D663.1 工人阶级
D663.2 农民阶级
D663.3 小资产阶级
D663.4 民族资产阶级
D663.5 知识分子阶层
D663.9 其他
[D664] 中国人民政治协商会议
[D664.0] 全国委员会
[D664.1/.7] 各地方委员会
D665 民主党派及其活动
D665.1 中国国民党革命委员会
D665.2 中国民主同盟
D665.3 中国民主促进会
D665.4 中国民主建国会
D665.5 中国农工民主党
D665.6 中国致公党
D665.7 九三学社
D665.8 台湾民主自治同盟
D665.9 其他
D668 社会调查和社会分析
D669 社会生活与社会问题
D669.1 恋爱、家庭、婚姻
D669.2 职业
D669.3 生活、居住、交通
D669.5 青少年
D669.6 中、老年
D669.68 妇女
D669.69 残疾人
[D669.7] 社会福利
D669.8 社会病态与社会犯罪
D669.9 其他
D67 地方政治
D675.8 台湾省
D676.58 香港特别行政区
D676.59 澳门特别行政区
D69 政治制度史
D691 清、清以前政治
D691.2 政治制度、国家机构
D691.3 选举制度
D691.4 人事制度（职官）
D691.42 官制
D691.46 考试
D691.49 监察、监督
D691.5 政书
D691.6 警政
D691.7 阶级结构、社会结构
D691.71 各阶级状况分析
D691.72 民族问题
D691.73 宗教问题
D691.74 政党与政治团体
D691.75 社会调查与社会分析
D691.9 社会生活与社会问题
D693 民国时代政治
D693.0 民主革命理论
D693.09 政策、政论
D693.091 政策
D693.092 政论
D693.093 报刊社论
D693.094 其他国家与地区的评论
D693.1 政治概况
D693.2 政治制度、国家机构
D693.21 旧政协
D693.22 议会、国会
D693.23 “五权”制度
D693.24 选举
D693.4 政治宣传与教育
D693.6 国家行政
D693.61 中央行政
D693.62 地方行政
D693.63 人事制度、人事管理
D693.65 警察
D693.66 民政工作
D693.69 监督、监察
D693.7 阶级结构、社会结构
D693.71 各阶级状况分析
D693.72 民族问题
D693.73 华侨问题
D693.739 宗教问题
D693.74 政党和政治团体
D693.75 封建行会组织
D693.79 社会调查与社会分析
D693.9 社会生活与社会问题
D696 新民主主义政治
D73/77 各国政治
D8 外交、国际关系
D80 外交、国际关系理论
D801 外交政策
D802 外交行政
D802.2 外交礼节
D802.3 外交机构
D802.5 外交事务
D803 外交特权
D805 引渡与驱逐问题
D81 国际关系
D812 世界人民的友好往来与互相合作
D813 国际组织与会议
D813.1 国际联合会（国际联盟）
D813.2 联合国
D813.3 大会
D813.4 各种组织
D813.7 各专门机构
D814.1 区域性组织和会议
D814.2 世界和平运动与组织
D814.21 世界和平大会
D814.22 世界和平理事会
D814.23 亚洲及太平洋地区和平联络委员会
D814.24 亚非人民团结组织
D814.25 不结盟国家会议
D814.9 其他
D815 国际问题
D815.1 裁军问题
D815.2 禁止和销毁核武器问题
D815.3 领土争端和边界问题
D815.4 中东及巴勒斯坦问题
D815.5 国际安全问题，国际反恐怖、缉毒活动
D815.6 难民问题
D815.7 人权问题
D815.8 国籍问题
D815.9 其他国际争端问题
D816 国际条约汇编
D819 世界外交史、国际关系史
D82 中国外交
D820 方针、政策及其阐述
D821 外交行政
D822 对外关系
{D822.1} 支持各国人民的革命斗争
D822.2 与各国人民的友好往来
D822.3 与各国政府的关系
D822.9 反对霸权主义、反对侵略扩张
D823 边界问题
D824 外侨问题
D825 引渡、驱逐问题
D826 条约
D827 地方对外关系
D829 中国外交史、对外关系史
D829.1 专题研究
D829.10 政策
D829.11 外交行政
D829.12 对外关系问题
D829.13 边界问题
D829.14 外侨问题
D829.149 引渡、驱逐问题
D829.15 条约、协定
D829.3/.7 与各国外交关系史
D83/87 各国外交
D9 法律
D90 法的理论（法学）
D90-05 法学与其他学科的关系
D90-051 法律逻辑学
D90-052 法律社会学
D90-053 法伦理学
D90-054 司法心理学
D90-055 法律语言学
D90-059 其他
D901 立法理论
D902 法制与民主
D903 法的起源与本质
D904 法的历史类型
D904.1 奴隶制国家的法
D904.2 封建制国家的法
D904.3 资本主义国家的法
D905 社会主义国家的法
D905.1 本质与作用
D905.2 制定与实施
D908 比较法学
D909 法学史、法律思想史
D909.1 世界
D909.2 中国
D909.3/.7 各国
D909.9 法制史
[D909.92] 中国法制史
[D909.93/.97] 各国法制史
D91 法学各部门
D910 各国法律综合汇编
D911 国家法、宪法
D911.01 理论
D911.02 法的历史
D911.04 学习、研究
D911.05 解释、案例
D911.09 法律汇编
D912.1 行政法
D912.2 财政法
D912.28 金融法
D912.29 经济法
D912.3 土地法
D912.4 农业经济管理法
D912.5 劳动法
D912.6 自然资源与环境保护法
D912.7 青少年法
[D912.8] 军法
D913 民法
D913.9 婚姻法
D913.99 商法（总论）
D914 刑法
D915 诉讼法
D915.1 诉讼制度
D915.12 当事人
D915.13 证据制度
D915.14 调解制度
D915.15 回避与辩护制度
{D915.16} 审判
D915.18 诉讼程序
D915.181 起诉
D915.182 审判程序
D915.183 执行程序
D915.185 特别程序
D915.2 民事诉讼法
D915.3 刑事诉讼法
D915.4 行政诉讼法
D915.7 仲裁法
D916 司法制度
D916.1 司法行政
D916.2 法院
D916.3 检察机关
D916.5 律师制度
D916.6 公证制度
D916.7 监狱制度、劳动改造制度
D916.8 劳动教养制度
D917 犯罪学
D917.1 犯罪原因
D917.2 犯罪心理学
D917.3 犯罪社会学
D917.6 犯罪预防与治理
D917.9 其他
D918 刑事侦查学（犯罪对策学、犯罪侦查学）
D918.1 犯罪同一认定
D918.2 侦查技术与方法
{D918.3} 痕迹学
D918.4 现场勘查
D918.5 预审学
D918.9 司法鉴定学
D918.91 痕迹学
D918.92 文书检验
D918.93 司法化学检验
D918.95 司法会计学
D919 法医学
D919.1 法医基础科学
D919.2 法医物证检验学
D919.3 司法精神医学
D919.4 法医鉴定学
D919.5 妇婴法医学
D919.6 法医人类学
D92 中国法律
D920.0 理论
D920.1 方针、政策及其阐述
D920.4 学习、研究
D920.5 解释、案例
D920.9 法律汇编
D921 国家法、宪法
D921.1 国家机构组织法
D921.11 国家权力机关组织法
D921.12 国家行政机关组织法
D921.13 国家军事机关组织法
[D921.14] 审判机关、检察机关组织法
D921.2 选举法
[D921.7] 国籍法
D921.8 地方自治法
D921.9 特别行政区基本法
D922.1 行政法
D922.11 行政管理法令
D922.12 国防军事管理法令
D922.13 外事管理法令
D922.14 公安管理法令
D922.15 华侨、民族事务管理法令
D922.16 文教、卫生管理法令
D922.17 科学技术管理法令
D922.181 公用事业管理法令
D922.182 民政和社会保障事业管理法令
D922.182.1 民政事业管理法令
D922.182.3 社会保障法令
D922.183 青少年法
D922.19 其他法令
D922.2 财政法
D922.21 预算法、决算法
D922.22 税法
D922.221 流转税法
D922.222 所得税法
D922.223 财产税法
D922.229 其他税法
{D922.23} 金融、银行法
{D922.24} 保险法
{D922.25} 货币管理法令
D922.26 财务管理和会计法
D922.27 审计法
D922.28 金融法
D922.281 银行法
D922.282 信托、信贷法
D922.284 保险法
D922.285 货币管理法令
D922.286 外汇管理法令
D922.287 证券管理法令
D922.29 经济法
D922.291 国民经济与社会发展法令
D922.291.91 企业法、公司法
D922.291.92 破产法
D922.292 工业企业经济管理法
[D922.293] 农业经济管理法令
D922.294 商业经济管理法令
D922.295 涉外经济管理法令
D922.296 交通运输经济和邮电经济管理法令
D922.297 基本建设管理法令
[D922.298] 经济合同法
D922.299 经济特区经济法令
D922.3 土地法
D922.31 土地改革法
D922.32 农业土地法
D922.33 国有土地管理及使用法
D922.34 城市及城郊用地法令
D922.35 建筑用地法令
D922.36 特殊用途土地法令
D922.37 森林用地法令
D922.38 水利用地法令
D922.39 国家建设征用土地法
D922.4 农业经济管理法令
D922.5 劳动法
D922.51 劳动报酬法
D922.52 劳动合同法
D922.53 劳动纪律、劳动奖励法令
D922.54 劳动保护法令
D922.55 劳动保险法令
D922.56 工会与职工民主管理法令
D922.57 职工培训法令
[D922.58] 社会福利法令
{D922.59} 其他
D922.591 劳动争议处理法令
D922.592 劳动监督与检查法令
D922.599 其他
D922.6 自然资源与环境保护法
[D922.61] 土地法
D922.62 矿产法
D922.63 森林法
D922.64 草原法
D922.65 水产法
D922.66 水法
D922.67 能源法
D922.68 环境保护法
D922.69 其他
D923 民法
D923.1 总则
D923.2 物权
D923.3 债权
D923.4 知识产权
D923.41 著作权法
D923.42 专利法
D923.43 商标法
D923.49 其他
D923.5 继承法
D923.6 合同法
D923.8 民事其他法权
D923.9 婚姻法
D923.99 商法（总论）
D924 刑法
D924.1 总则
D924.11 犯罪
D924.12 刑罚的种类
D924.13 刑罚的运用
D924.3 分则
D924.31 危害国家安全罪
D924.32 危害公共安全罪
D924.33 破坏社会主义市场经济秩序罪
D924.34 侵犯公民人身权利、民主权利罪
D924.35 侵犯财产罪
D924.36 妨害社会管理秩序罪
{D924.37} 妨害婚姻、家庭罪
{D924.38} 渎职罪
D924.391 危害国防利益罪
D924.392 贪污贿赂罪
D924.393 渎职罪
[D924.394] 军人违反职责罪
D924.399 其他
{D924.41} 青少年犯罪问题
{D924.49} 其他
D925 诉讼法
D925.1 民事诉讼法
D925.2 刑事诉讼法
D925.3 行政诉讼法
D925.7 仲裁法
D926 司法制度
D926.1 司法行政
D926.12 司法行政机构
D926.13 司法行政工作
D926.14 司法统计
D926.15 司法教育
D926.17 司法人员
D926.2 法院
D926.21 最高人民法院
D926.22 地方各级人民法院
D926.23 专门法院
[D926.238] 军事法院
D926.3 检察院
D926.31 最高检察院
D926.32 地方各级人民检察院
D926.33 专门人民检察院
D926.34 司法监督
D926.5 律师制度
D926.6 公证制度
D926.7 监狱制度与劳动改造制度
D926.8 劳动教养制度
D927 地方法制
D929 中国法制史
D93/97 各国法律
D99 国际法
D990 国际法理论
D992 国家
D993 领土
D993.1 领土问题
D993.2 国界和边境
D993.3 领水
D993.4 领空、航空法
D993.5 海洋法
D993.7 外交领事法
D993.8 条约法
D993.9 国际组织法
D994 平时国际法
D995 战时国际法（战争法）
D995.9 中立
D996 国际经济法
D996.1 国际商法（国际贸易法）
D996.19 海商法
D996.2 国际财政金融法
D996.3 国际税法
D996.4 国际投资法
D996.5 国际技术转让法
{D996.6} 准据法
D996.9 国际环境保护法
D997 国际私法
D997.1 国际民法
D997.3 国际民事诉讼程序法
D997.4 国际商事仲裁与国际海事仲裁法
D997.9 国际刑法
D998 国籍法
D998.1 外国人的法律地位
D998.2 人权的国际保护
D998.3 移民法
D998.8 各国国籍法
D999.1 外层空间法（宇宙法）
D999.2 核法
DF 法律
DF0 法的理论（法学）
DF0-05 法学与其他学科的关系
DF0-051 法律逻辑学
DF0-052 法律社会学
DF0-053 法伦理学
DF0-054 司法心理学
DF0-055 法律语言学
DF0-059 其他
DF01 立法理论
DF02 法制与民主
DF03 法的起源与本质
DF04 法的历史类型
DF041 奴隶制国家的法
DF042 封建制国家的法
DF043 资本主义国家的法
DF05 社会主义国家的法
DF051 本质与作用
DF052 制定与实施
DF07 比较法学
DF08 法学史、法律思想史
DF081 世界
DF082 中国
DF083/087 各国
DF09 法制史
DF091 世界
DF092 中国
DF093/097 各国
DF1 世界各国法律（总论）
DF11 世界
DF12 中国
DF127 地方法制
DF13/17 各国
DF2 国家法、宪法
DF21 国家机构组织法
DF211 国家权力机关组织法
DF212 国家行政机关组织法
DF213 国家军事机关组织法
[DF214] 国家审判、检察机关组织法
DF22 选举法
[DF27] 国籍法
DF28 地方自治法
DF29 特别行政区基本法
DF3 行政法
DF31 行政管理法令
DF32 国防军事管理法令
[DF327] 兵役法
[DF328] 军法
DF33 外事管理法令
DF34 公安管理法令
DF35 侨务、民族事务管理法令
DF36 文教、卫生管理法令
DF37 科学技术管理法令
DF38 公用事业管理法令
DF391 民政和社会保障事业管理法令
DF391.1 民政事业管理法令
DF391.3 社会保障法令
DF393 青少年法
DF399 其他法令
DF4 经济法、财政法
DF41 经济法
DF411 国民经济与社会发展法令
DF411.91 企业法、公司法
DF411.92 破产法
DF412 工业企业经济管理法
DF412.1 国营工业企业管理法
DF412.2 集体工业企业管理法
DF412.3 个体工业企业管理法
DF413 农业经济管理法
DF413.1 农业
[DF413.2] 林业
DF413.3 畜牧业
DF413.4 渔业
DF413.5 狩猎
DF413.6 农村副业
DF413.8 农业经济组织
DF414 商业经济管理法
DF415 涉外经济管理法
DF416 交通运输经济和邮电经济管理法
DF417 基本建设管理法
DF418 经济合同法
DF419.1 经济特区经济法令
